1548263585,MERCY HOSPITAL JEFFERSON,PO BOX 350,,CRYSTAL CITY,MO,630190350,6369331200,Hospice Care - Community Based,,,,,,,,,,,,,,
1326041336,BUTLER PHARMACY INC,11 S ORANGE ST,,BUTLER,MO,647301805,6606794175,Community/Retail Pharmacy,Long Term Care Pharmacy,,,,,,,,,,,,,
1730182742,MERCY CARDIOLOGY LLC,625 S NEW BALLAS RD,STE 2030,SAINT LOUIS,MO,631418253,3142515830,Cardiovascular Disease,,,,,,,,,,,,,,
1083617245,ST MARY'S HOSPITAL,PO BOX 503861,,SAINT LOUIS,MO,631500001,6184368000,Psychiatric Unit,General Acute Care Hospital,,,,,,,,,,,,,
1053314179,ST. ANTHONY'S MEDICAL CENTER,10010 KENNERLY RD,,SAINT LOUIS,MO,631282106,3145251000,Home Health,,,,,,,,,,,,,,
1649273723,ST CHARLES ORTHOPAEDIC SURGERY ASSOCIATES INC.,9323 PHOENIX VILLAGE PKWY,,O FALLON,MO,633664281,6365615030,Orthopaedic Surgery,,,,,,,,,,,,,,
1093718900,SSM HEALTH BUSINESSES,10143 PAGET DR,,SAINT LOUIS,MO,631322915,3149892500,Hospice Care - Community Based,,,,,,,,,,,,,,
1477556447,NURSES & COMPANY INC,115 PIPER HILL DR,SUITE 200,ST PETERS,MO,633761620,6369263722,Home Health,,,,,,,,,,,,,,
1285637058,CITY OF EXCELSIOR SPRINGS,201 E BROADWAY ST,,EXCELSIOR SPRINGS,MO,640242564,8166303000,Ambulance,,,,,,,,,,,,,,
1962405803,MID RIVERS AMBULATORY SURGERY CENTER LP,5401 VETERANS MEMORIAL PKWY,STE 100,SAINT PETERS,MO,633761680,6364410906,Ambulatory Surgical,,,,,,,,,,,,,,
1851394712,SALINE COUNTY AMBULANCE DISTRICT # 3,354 W ARROW ST,,MARSHALL,MO,653401903,6608863317,Ambulance,,,,,,,,,,,,,,
1548263478,MISSISSIPPI COUNTY AMBULANCE DISTRICT,53 W HIGHWAY C,,CHARLESTON,MO,638348399,5736836207,Land Transport,,,,,,,,,,,,,,
1730182478,JOHN FITZGIBBON MEMORIAL HOSPITAL INC.,2305 S 65 HIGHWAY,,MARSHALL,MO,653403702,6608867431,General Acute Care Hospital,,,,,,,,,,,,,,
1134122740,B P & W INC,PO BOX 280,,SENECA,MO,648650280,4177768701,Pharmacy,Community/Retail Pharmacy,Long Term Care Pharmacy,,,,,,,,,,,,
1427051069,PHELPS COUNTY CLERK,200 N MAIN ST,STE G51,ROLLA,MO,654013070,5734586010,Public Health - State or Local,,,,,,,,,,,,,,
1104829704,SCHUYLER COUNTY HEALTH CENTER,PO BOX 387,213 S. GREEN ST.,LANCASTER,MO,635481907,6604573721,Home Health,,,,,,,,,,,,,,
1376546747,ST. LOUIS HOME HEALTH,1000 CAMERA AVE,STE B,SAINT LOUIS,MO,631261017,3143527889,Home Health,,,,,,,,,,,,,,
1922001254,REV NOEL T ADAMS MEM AMBULANCE DISTRICT,1000 S 25TH ST,,BETHANY,MO,644242610,6604256319,Land Transport,,,,,,,,,,,,,,
