1497758429,FORT WAYNE ORTHOPAEDICS LLC,PO BOX 2526,,FORT WAYNE,IN,468012526,2604368686,Orthopaedic Surgery,Hand Surgery,Orthopaedic Surgery of the Spine,Sports Medicine,Orthopaedic Trauma,Podiatrist,Foot & Ankle Surgery,Family,Physician Assistant,Nurse Practitioner,,,,,
1417950452,SATTI HOME HEALTH CARE PC,9339 CALUMET AVE,STE C-1,MUNSTER,IN,463212879,2198368331,Home Health,,,,,,,,,,,,,,
1720081755,ALLPOINTS HOME HEALTH CARE INC.,9801 PRAIRIE AVE,STE A,HIGHLAND,IN,463223633,2199229595,Home Health,,,,,,,,,,,,,,
1669475687,INDIANA MRI OF LAFAYETTE LLC,130 PROFESSIONAL CT,STE C,LAFAYETTE,IN,479055153,7654497984,Magnetic Resonance Imaging (MRI),,,,,,,,,,,,,,
1639172810,THE OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,850 N HARRISON ST,ATTN: ANNE LAWSON - PERFORMANCE IMPROVEMENT,WARSAW,IN,465803163,5742677169,Adult Mental Health,Adolescent and Children Mental Health,Psychiatric Hospital,,,,,,,,,,,,
1083617286,CAREFIRST OF FORT WAYNE INC.,3204 CONGRESSIONAL PKWY,,FORT WAYNE,IN,468084417,2603731600,Oxygen Equipment & Supplies,,,,,,,,,,,,,,
1619970860,TOWN OF ST. JOHN,10955 W 93RD AVE,,SAINT JOHN,IN,463738824,2193656034,Land Transport,,,,,,,,,,,,,,
1477556546,PULASKI MEMORIAL HOSPITAL,616 E 13TH ST,,WINAMAC,IN,469961117,5749462103,Nursing Facility/Intermediate Care Facility,Skilled Nursing Facility,,,,,,,,,,,,,
1134122005,ST. MARY'S HEALTH INC,3700 WASHINGTON,,EVANSVILLE,IN,47750,8124856940,Urgent Care,,,,,,,,,,,,,,
1770586554,WOODLAWN HOSPITAL,PO BOX 819,,GOSHEN,IN,465270819,5745374000,Skilled Nursing Facility,,,,,,,,,,,,,,
1821091802,VINCENNES SURGERY CENTER LP,300 N 1ST ST,,VINCENNES,IN,475911252,8128866063,Ambulatory Surgical,,,,,,,,,,,,,,
1053314021,GEORGE'S FAMILY PHARMACY INC,480 MAIN ST,,BROOKVILLE,IN,470121406,7656476251,Durable Medical Equipment & Medical Supplies,Pharmacy,,,,,,,,,,,,,
1033112990,ADVANCED IMAGING CENTER LLC,7860 BURR ST,,SCHERERVILLE,IN,46375,2198642900,Radiology,,,,,,,,,,,,,,
1063415685,LAPEL STONY CREEK TOWNSHIP AMBULANCE SERVICE,720 S FORD STREET,PO BOX 999,LAPEL,IN,460510999,7655343157,Ambulance,,,,,,,,,,,,,,
1205839826,JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,601 E RACE ST,,ODON,IN,475621425,8126364920,Skilled Nursing Facility,,,,,,,,,,,,,,
1962405530,PRIME CARE HOME HEALTH SERVICES,2632 W 81ST AVE,,MERRILLVILLE,IN,464105235,2197696896,Home Health,,,,,,,,,,,,,,
1619970134,FRANCISCAN HEALTH LAFAYETTE,1415 SALEM ST.,SUITE 202W,LAFAYETTE,IN,479042099,7654495046,Home Health,,,,,,,,,,,,,,
1710980156,ROCHE DIABETES CARE INC,9115 HAGUE RD,,INDIANAPOLIS,IN,462561025,3175212000,,,,,,,,,,,,,,,
1699778902,SWITZERLAND COUNTY AUDITOR'S OFFICE,1190 W MAIN ST,STE 300,VEVAY,IN,470433639,8124274038,Rural Health,,,,,,,,,,,,,,
1669475950,HENDRICKS COUNTY HOSPITAL,1000 E MAIN ST,,DANVILLE,IN,461221948,3177454451,General Acute Care Hospital,,,,,,,,,,,,,,
1770586141,CROWDERS NEIGHBORHOOD DRUG STORE INC,PO BOX 966,,BEDFORD,IN,474210966,8122755959,Durable Medical Equipment & Medical Supplies,Pharmacy,Community/Retail Pharmacy,Compounding Pharmacy,,,,,,,,,,,
1518960988,CHHABRA MEDICAL CORPORATION PC,6375 US HIGHWAY 6,,PORTAGE,IN,463685111,2197623196,Family Medicine,,,,,,,,,,,,,,
1912900275,FAIRMEADOWS PHARMACY INC,PO BOX 3395,,MUNSTER,IN,463210395,(219) 836-8700,Pharmacy,Compounding Pharmacy,Home Infusion Therapy Pharmacy,Specialty Pharmacy,,,,,,,,,,,
1881696847,ORAL SURGERY OFFICE LLC,2204 SCOTT ST,,LAFAYETTE,IN,479042933,7654470525,Oral and Maxillofacial Surgery,,,,,,,,,,,,,,
