1427051473,OAKVIEW MEDICAL CARE FACILITY,1001 DIANA ST,,LUDINGTON,MI,494311908,2318455185,Skilled Nursing Facility,,,,,,,,,,,,,,
1184627135,ALLEGAN COUNTY HEALTH DEPARTMENT,3255 122ND AVE,STE 200,ALLEGAN,MI,490109511,2692675411,Public Health or Welfare,,,,,,,,,,,,,,
1215930490,FAMILY ORTHOPEDIC ASSOCIATES P L C,4466 W BRISTOL RD,,FLINT,MI,485073170,8107331200,Orthopaedic Surgery,Hand Surgery,Adult Reconstructive Orthopaedic Surgery,Orthopaedic Surgery of the Spine,Foot and Ankle Surgery,Sports Medicine,Pain Medicine,Physical Therapist,Occupational Therapist,Hand,Nurse Practitioner,Physician Assistant,Orthopaedic Trauma,,
1659374668,ST. JOSEPH HOME HEALTH & HOSPICE,PO BOX 239,,TAWAS CITY,MI,487640239,9893624611,Home Health,Hospice Care - Community Based,,,,,,,,,,,,,
1073516118,LIVINGSTON COUNTY TREASURER,1911 TOOLEY RD,,HOWELL,MI,488558703,5175466220,Land Transport,,,,,,,,,,,,,,
1275536344,ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,,ZEELAND,MI,494642608,6167727513,General Acute Care Hospital,Pharmacy,Institutional Pharmacy,,,,,,,,,,,,
1053314146,BIOTECH CLINICAL LABORATORIES INC,25775 MEADOWBROOK RD,,NOVI,MI,483751849,2489121700,Clinical Medical Laboratory,,,,,,,,,,,,,,
1376546366,COUNTY OF BAY,564 W HAMPTON RD,,ESSEXVILLE,MI,487329710,9898923591,Skilled Nursing Facility,,,,,,,,,,,,,,
1457354268,COUNTY OF ALLEGAN,3265 122ND AVE,,ALLEGAN,MI,490109511,2696732102,Skilled Nursing Facility,,,,,,,,,,,,,,
1710980586,INTERNAL MEDICINE ASSOCIATES OF FLINT P.C.,3499 S LINDEN RD,,FLINT,MI,485073022,8102300120,Specialist,,,,,,,,,,,,,,
1295738144,GREAT LAKES RENAL NETWORK,330 E WARWICK DR,,ALMA,MI,488011014,9894663300,Specialist,,,,,,,,,,,,,,
1841293651,SCHAEFER HEALTH ENTERPRISES INC.,PO BOX 448,,ROSE CITY,MI,486540448,9896852141,Durable Medical Equipment & Medical Supplies,Pharmacy,Community/Retail Pharmacy,,,,,,,,,,,,
1649273459,HISTOLOGY ASSOCIATES,22221 GREATER MACK AVE,STE E,ST CLAIR SHORES,MI,480802351,5867744290,Anatomic Pathology,Clinical Medical Laboratory,,,,,,,,,,,,,
1275536153,BECKER ORTHOPEDIC APPLIANCE COMPANY,635 EXECUTIVE DR,,TROY,MI,480834536,2485887480,Durable Medical Equipment & Medical Supplies,Prosthetic/Orthotic Supplier,,,,,,,,,,,,,
1508869108,SPARROW SPECIALTY HOSPITAL,1210 W SAGINAW STREET,,LANSING,MI,489151927,5173646800,Long Term Care Hospital,,,,,,,,,,,,,,
