1902809924, 2, , <UNAVAIL>, THE SALUDA COUNSELING SERVICES CENTER INC., , , , , , , THE SALUDA CENTER, 3, , , , , , , , 2400 W MAIN ST, , ROCK HILL, SC, 297328968, US, 8033276103, 8033285443, 2400 W MAIN ST, , ROCK HILL, SC, 297328968, US, 8033276103, 8033285443, 05/23/2005, 04/20/2008, , , , , JOHNSON, BARBARA, J, OFFICE MANAGER, 8033276103, 101YA0400X, , , N, 101YM0800X, , , Y, 101YP1600X, , , N, 101YP2500X, , , N, 1041C0700X, , , N, 106H00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========006, 01, SC, BCBS, =========003, 01, SC, BCBS, =========001, 01, SC, BCBS, =========002, 01, SC, BCBS, =========005, 01, SC, BCBS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , 
1649273749, 2, , <UNAVAIL>, GREENWOOD UROLOGICAL P.A., , , , , , , , , , , , , , , , 109 LINER DRIVE, , GREENWOOD, SC, 29646, US, 8009224194, , 109 LINER DR, , GREENWOOD, SC, 296462311, US, 8009224194, , 05/23/2005, 01/19/2015, , , , , KING, CLAUDIA, E., ADMINISTRATOR, 8009224794, 208800000X, , SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GP2105, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1255334009, 2, , <UNAVAIL>, KEYSTONE SUBSTANCE ABUSE SERVICES, , , , , , , YORK COUNTY COUNCIL ON ALCOHOL AND DRUG ABUSE, 4, , , , , , , , PO BOX 4437, , ROCK HILL, SC, 297326437, US, 8033241800, 8033283831, 199 S HERLONG AVE, , ROCK HILL, SC, 297321186, US, 8033241800, 8033283831, 05/24/2005, 08/07/2007, , , , , MARTINI, JANET, , EXECUTIVE DIRECTOR, 8033241800, 261QR0405X, DHEC    OTP-44, SC, Y, 324500000X, DHEC       ITP-025, SC, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , AD12YK-SC, 05, SC, , 19121, 01, , CARF CERTIFICATION NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , LPC-SUPV.,  NCC, , , , , , , , , , , , , , , , 
1285637785, 2, , <UNAVAIL>, EASTER SEAL SOCIETY OF SOUTH CAROLINA INC, , , , , , , ROSE M. LOWE REHABILITATION CENTER, 3, , , , , , , , PO BOX 425, , LEXINGTON, SC, 290710425, US, 8032128971, 8036618450, 4037 YALE AVE, , COLUMBIA, SC, 292053553, US, 8032128971, 8036618450, 05/27/2005, 03/12/2015, , , , , PEAK, SHAE, , CENTER MANAGER, 8032128971, 261QP2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , AR0001, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , CHE, , , , , , , , , , , , , , , , 
1003819673, 2, , <UNAVAIL>, DAP INC, , , , , , , BURKES PHARMACY, 3, , , , , , , , 1101 MAIN ST, , HILTON HEAD ISLAND, SC, 299261624, US, 8436812622, 8433422544, 1101 MAIN ST, , HILTON HEAD ISLAND, SC, 299261624, US, 8436812622, 8433422544, 05/27/2005, 12/15/2008, , , , , BURKE, TIMOTHY, , OWNER, 8436812622, 333600000X, 50002240, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 561378, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , PHARMACIST, , , , , , , , , , , , , , , , 
1376546903, 2, , <UNAVAIL>, CHESTERFIELD CLINIC CORP, , , , , , , , , , , , , , , , 721 CHESTERFIELD HWY, , CHERAW, SC, 295207002, US, 8439211211, 8439211213, 721 CHESTERFIELD HWY, , CHERAW, SC, 295207002, US, 8439211211, 8439211213, 05/27/2005, 11/29/2007, , , , , BREWER, DEBBIE, , DIRECTOR OF PROVIDER ENROLLMENT, 6154657626, 207Q00000X, , , Y, 207R00000X, , , N, 207V00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GP3612, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
1871596593, 2, , <UNAVAIL>, ASSOCIATES IN GASTROENTEROLOGY PA, , , , , , , , , , , , , , , , 1070 WILDEWOOD CTR DR, , COLUMBIA, SC, 292299785, US, 8037881100, 8037884522, 1070 WILDEWOOD CTR DR, , COLUMBIA, SC, 292299785, US, 8037881100, 8037884522, 05/27/2005, 01/13/2012, , , , , CHOCKALINGAM, SIVA, KUMAR, MEDICAL DOCTORPRESIDENT, 8037881100, 207RG0100X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 176712, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1376546788, 2, , <UNAVAIL>, CHARLESTON COUNTY GOVERNMENT, , , , , , , CHARLESTON COUNTY EMS, 3, , , , , , , , 4045 BRIDGE VIEW DR, , NORTH CHARLESTON, SC, 294057464, US, 8432026722, 8432026712, 4045 BRIDGE VIEW DR, , NORTH CHARLESTON, SC, 294057464, US, 8432026722, 8432026712, 05/31/2005, 11/25/2015, , , , , PORCHER, PAMELIA, L, BILLING SUPERVISOR, 8432026722, 3416L0300X, 0015, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 601154, 05, SC, , =========, 01, SC, TAX ID #, 501996, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1457354839, 2, , <UNAVAIL>, SPARTANBURG ALCOHOL AND DRUG ABUSE COMMISSION, , , , , , , , , , , , , , , , PO BOX 1252, , SPARTANBURG, SC, 293041252, US, 8645827588, 8645828119, 187 W BROAD ST, STE 300, SPARTANBURG, SC, 293063234, US, 8645827588, 8645828119, 05/31/2005, 07/08/2007, , , , , FORRESTER, DAVID, L, EXECUTIVE DIRECTOR, 8645827588, 101YA0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 81AD10SP, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., SR., , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1255333548, 2, , <UNAVAIL>, COUNTY OF JASPER, , , , , , , , , , , , , , , , 1509 GRAYS HWY, , RIDGELAND, SC, 299365441, US, 8437267797, 8437267966, 1509 GRAYS HWY, , RIDGELAND, SC, 299365441, US, 8437267797, 8437267966, 06/01/2005, 05/15/2013, , , , , DALEY, WILBUR, , DIRECTOR OF SERVICES, 8437267797, 3416L0300X, 123, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 502389, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, COUNTY OF JASPER, <UNAVAIL>, MR., , , , , , , , , , , , , , , , , , 
1215939574, 2, , <UNAVAIL>, SCORE SPORTSMEDICINE LLC, , , , , , , , , , , , , , , , 2 MARSHLAND RD, , HILTON HEAD ISLAND, SC, 299262305, US, 8436824325, , 2 MARSHLAND RD, , HILTON HEAD ISLAND, SC, 299262305, US, 8436824325, , 06/01/2005, 04/29/2008, , , , , KREPFLE, JODI, A, OWNER,  PHYSICAL THERAPIST, 8436824325, 261QP2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Q337428318, 01, SC, INDIVIDUAL MEDICARE PIN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , P.T., , , , , , , , , , , , , , , , 
