1407859911,DEER CREEK DRUG,PO BOX 940,,GLENROCK,WY,826370940,3074369611,Pharmacy,,,,,,,,,,,,,,
1730183617,CENTRAL WYOMING COUNSELING CENTER,1430 WILKINS CIR,,CASPER,WY,826011336,3072379583,Mental Health (Including Community Mental Health Center),,,,,,,,,,,,,,
1336144617,SWEETWATER SURGERY CENTER LLC,2761 COMMERCIAL WAY,,ROCK SPRINGS,WY,829014753,3073826873,Ambulatory Surgical,,,,,,,,,,,,,,
1912903105,HIGH COUNTRY ORTHOTICS & PROSTHETICS,135 S WASHINGTON ST.,,CASPER,WY,826012738,3072344214,Orthotist,Prosthetic/Orthotic Supplier,,,,,,,,,,,,,
1194721050,HIGH PLAINS SURGICAL ASSOC. PC,PO BOX 1272,,GILLETTE,WY,827171272,3076827555,Surgery,,,,,,,,,,,,,,
1003812694,FREMONT COUNSELING SERVICE,748 MAIN ST,,LANDER,WY,825203036,3073322231,Case Manager/Care Coordinator,Mental Health (Including Community Mental Health Center),Rehabilitation - Substance Use Disorder,,,,,,,,,,,,
1164428710,Z-MED INC,514 S GREELEY HWY,,CHEYENNE,WY,820072852,,Durable Medical Equipment & Medical Supplies,Pharmacy,Community/Retail Pharmacy,,,,,,,,,,,,
1457358376,TENDER HEART HOME CARE HOSPICE,PO BOX 2130,624 TWIN RIDGE,EVANSTON,WY,829312130,3077898969,Case Management,Home Health,,,,,,,,,,,,,
1750389466,FAMILY HEALTH CARE PC,1020 S CONWELL ST,,CASPER,WY,826013921,3075775100,Primary Care,,,,,,,,,,,,,,
1801894522,NORTH EAST WYOMING SURGERY CENTER LLC,1307 W 3RD ST,,GILLETTE,WY,827163335,3076868283,Ambulatory Surgical,,,,,,,,,,,,,,
1215934161,PROFESSIONAL OXYGEN SUPPLY INC.,417 W BUFFALO ST,P.O.BOX 252,RAWLINS,WY,823015621,3073281357,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
1497753115,POWELL VALLEY HEALTH CARE INC,777 AVENUE H,,POWELL,WY,824352260,3077542267,Critical Access,Rural,,,,,,,,,,,,,
1558361949,COUNTY OF SWEETWATER,PO BOX 1359,1200 COLLEGE DRIVE,ROCK SPRINGS,WY,829021359,3073623711,General Acute Care Hospital,,,,,,,,,,,,,,
1871594895,SHATTO'S FRONTIER DRUG,PO BOX 705,,DOUGLAS,WY,826330705,3073585077,Pharmacist,,,,,,,,,,,,,,
