1114920147,RIVER OAKS HOME HEALTH CARE LLC,900 3RD ST,,INTERNATIONAL FALLS,MN,566492208,2182833031,Home Health,,,,,,,,,,,,,,
1891798823,MONTICELLO BIG LAKE HOSPITAL NURSING HOME,1013 HART BLVD,,MONTICELLO,MN,553628575,7632952945,Critical Access,,,,,,,,,,,,,,
1396748307,LIFESCAN MINNESOTA LLC,3955 PARKLAWN AVE,STE 110,EDINA,MN,554355657,9528931997,Radiology,,,,,,,,,,,,,,
1558364687,LONG TERM HEALTH CARE ASSOCIATES INC,110 7TH ST N,,MORA,MN,550511110,3206791411,Skilled Nursing Facility,,,,,,,,,,,,,,
1821091026,DES MOINES VALLEY HEALTH AND HUMAN SERVICES,402 WHITE ST,STE 201,JACKSON,MN,561431572,5078472366,Home Health,Public Health or Welfare,,,,,,,,,,,,,
1831192053,MAPLE MANOR NURSING HOME,1875 19TH ST NW,,ROCHESTER,MN,559011633,5072829449,Skilled Nursing Facility,,,,,,,,,,,,,,
1427051531,PHOENIX MEDICAL SERVICES INC.,1901 OAKCREST AVE,SUITE 9,ROSEVILLE,MN,551132617,6516360848,Parenteral & Enteral Nutrition,,,,,,,,,,,,,,
1790788891,HOUSING & REDEVELOPMENT AUTHORITY OF MORRIS,100 S COLUMBIA AVE,,MORRIS,MN,562671540,3205893142,Home Health,,,,,,,,,,,,,,
1417950593,VILLAGE OF FERTILE,PO BOX 8,300 GARFIELD AVE. SE,FERTILE,MN,565400008,2189456194,Skilled Nursing Facility,,,,,,,,,,,,,,
1689677478,COUNTY OF DOUGLAS,725 ELM ST,STE 1200,ALEXANDRIA,MN,563081760,3207636018,Case Management,Hospice Care - Community Based,Public Health or Welfare,,,,,,,,,,,,
1134122054,LIFESCAN MINNESOTA STAND UP MRI LLC,5023 EXCELSIOR BLVD,STE 9B,ST LOUIS PARK,MN,554163013,9529208860,Magnetic Resonance Imaging (MRI),,,,,,,,,,,,,,
1942203864,INTERCOUNTY NURSING SERVICE,101 MAIN AVE N,,THIEF RIVER FALLS,MN,567011901,2186810876,Home Health,,,,,,,,,,,,,,
1053314013,TRIA ORTHOPAEDIC CENTER LLC,8100 NORTHLAND DR,,MINNEAPOLIS,MN,554314800,9528318742,,,,,,,,,,,,,,,
1831192764,COUNTY OF KOOCHICHING,1000 5TH ST,,INTERNATIONAL FALLS,MN,566492243,2182837070,Public Health or Welfare,,,,,,,,,,,,,,
1356344832,OTTO BOCK HEALTHCARE LP,TWO CARLSON PKWY,STE 100 ATTN SHARON CLARK CONTRACTS,MINNEAPOLIS,MN,554474467,7632535679,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
1104829670,COUNTY OF STEELE,635 FLORENCE AVE,,OWATONNA,MN,550604700,5074447650,Home Health,,,,,,,,,,,,,,
1326041633,PINE MEDICAL CENTER,705 LUNDORFF DRIVE SOUTH,,SANDSTONE,MN,55072,3202452212,Critical Access,,,,,,,,,,,,,,
