1205839164,MID-ATLANTIC FAMILY PRACTICE,20251 JOHN J WILLIAMS HWY,,LEWES,DE,199584314,3026446860,Family Medicine,,,,,,,,,,,,,,
1013910926,CHRISTIANA CARE HEALTH SYSTEMS/VNA/HOME MEDICAL EQUIPMENT,210 EXECUTIVE DR,STE 7,NEWARK,DE,197023335,3024522941,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
1982607677,DELAWARE HEART GROUP PA,4735 OGLETOWN STANTON ROAD,MEDICAL ARTS PAVILION 2 SUITE 2123,NEWARK,DE,19713,3025041860,Cardiovascular Disease,,,,,,,,,,,,,,
1548264427,AMERICAN LEGION AMBULANCE STATION 64 INC,900 SMYRNA CLAYTON BLVD,,SMYRNA,DE,199770345,3026536465,Ambulance,,,,,,,,,,,,,,
1538164918,BAYSIDE HEALTH ASSOCIATION,1535 SAVANNAH RD,,LEWES,DE,199581611,3026454700,Obstetrics & Gynecology,General Practice,Audiologist-Hearing Aid Fitter,Advanced Practice Midwife,,,,,,,,,,,
1407851645,FRANCISCAN ELDERCARE CORP,100 SAINT CLAIRE DRIVE,,HOCKESSIN,DE,197078906,3022345420,Skilled Nursing Facility,,,,,,,,,,,,,,
1518964048,PERSPECTIVES COUNSELING CENTER,9 E LOOCKERMAN ST,SUITE 213,DOVER,DE,199018306,3026771758,Group Psychotherapy,,,,,,,,,,,,,,
1518964956,MAROSA SURGICAL INDUSTRIES INC,1277 S GOVERNORS AVE,,DOVER,DE,199044801,3026740907,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
1053318261,PENINSULA UNITED METHODIST HOMES,726 LOVEVILLE RD,,HOCKESSIN,DE,197071515,3022356066,Internal Medicine,,,,,,,,,,,,,,
1194723411,CAPE PHARMACY LLC,17252 N VILLAGE MAIN BLVD,#3,LEWES,DE,199586292,3026450090,Pharmacist,,,,,,,,,,,,,,
1699774364,ST FRANCIS HOSPITAL INC,7TH AND CLAYTON STREET,,WILMINGTON,DE,198053155,3024214100,Home Health,,,,,,,,,,,,,,
1972502532,ALLIED DIAGNOSTIC PATHOLOGY CONSULTANTS PA,701 N CLAYTON ST,,WILMINGTON,DE,198053165,3025758103,Anatomic Pathology & Clinical Pathology,,,,,,,,,,,,,,
1932108446,EDWARD T DOUGHERTY JR DDS PC,36872 JAHNIGEN DR,,FRANKFORD,DE,199454590,4103902220,Dental Public Health,General Practice,,,,,,,,,,,,,
1699774976,FEENEY CHIROPRACTIC CARE CENTRE,835 PULASKI HWY,,BEAR,DE,197011240,3023280200,Chiropractor,,,,,,,,,,,,,,
1700885928,ST. FRANCIS HOSPITAL INC.,701 N CLAYTON ST,7TH FLOOR,WILMINGTON,DE,198053165,3025758271,Specialist,Obstetrics & Gynecology,,,,,,,,,,,,,
1689674533,MILFORD DIAGNOSTIC IMAGINE PA,21 W CLARKE AVE,,MILFORD,DE,199631840,6104593113,Diagnostic Radiology,,,,,,,,,,,,,,
1508866468,LANGHORNE PATHOLOGY ASSOCIATES PC,111 CONTINENTAL DRIVE,SUITE 304,NEWARK,DE,19713,(888) 625-4685,Clinical Pathology/Laboratory Medicine,,,,,,,,,,,,,,
1316947799,PENINSULA UNITED METHODIST HOME,726 LOVEVILLE RD,,HOCKESSIN,DE,197071515,3022356066,Internal Medicine,,,,,,,,,,,,,,
1659372670,DELAWARE FAMILY HEALTHCARE ALLIANCE,136 TRAYBERN BLVD,,CAMDEN,DE,199341947,3026770515,Obstetrics & Gynecology,,,,,,,,,,,,,,
1114928991,NORTHEAST EXPRESS,36017 BURBAGE RD,SUITE A,FRANKFORD,DE,199456703,3028298312,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
