88503,79936,EL PASO,TX,31.84,-106.43
72890,77084,HOUSTON,TX,29.76,-95.38
70855,77449,KATY,TX,29.79,-95.82
70353,76248,KELLER,TX,32.93,-97.22
68943,75052,GRAND PRAIRIE,TX,32.69,-97.01
66668,78521,BROWNSVILLE,TX,25.92,-97.48
62375,77479,SUGAR LAND,TX,29.61,-95.61
62107,75070,MCKINNEY,TX,33.20,-96.65
59704,77379,SPRING,TX,30.06,-95.38
58330,77450,KATY,TX,29.79,-95.82
58295,77429,CYPRESS,TX,29.96,-95.69
58177,79912,EL PASO,TX,31.84,-106.43
57331,77573,LEAGUE CITY,TX,29.48,-95.10
57055,75217,DALLAS,TX,32.79,-96.76
56797,75034,FRISCO,TX,33.14,-96.81
56079,77095,HOUSTON,TX,29.76,-95.38
54550,77584,PEARLAND,TX,29.55,-95.27
54475,77083,HOUSTON,TX,29.76,-95.38
53788,78660,PFLUGERVILLE,TX,30.44,-97.62
52383,78613,CEDAR PARK,TX,30.51,-97.83
52358,75002,ALLEN,TX,33.10,-96.66
51878,75211,DALLAS,TX,32.79,-96.76
50138,76063,MANSFIELD,TX,32.56,-97.11
49473,77459,MISSOURI CITY,TX,29.57,-95.53
48970,77494,KATY,TX,29.79,-95.82
48925,76180,NORTH RICHLAND HILLS,TX,32.86,-97.21
48315,76028,BURLESON,TX,32.53,-97.32
48297,78572,MISSION,TX,26.21,-98.31
47500,75040,GARLAND,TX,32.91,-96.62
47380,78130,NEW BRAUNFELS,TX,29.70,-98.11
46796,75228,DALLAS,TX,32.79,-96.76
46631,75067,LEWISVILLE,TX,33.04,-96.98
46199,78577,PHARR,TX,26.18,-98.18
45854,79924,EL PASO,TX,31.84,-106.43
45476,75043,GARLAND,TX,32.91,-96.62
45464,75007,CARROLLTON,TX,32.98,-96.89
45011,78250,SAN ANTONIO,TX,29.45,-98.50
44465,75150,MESQUITE,TX,32.76,-96.59
44329,75025,PLANO,TX,33.04,-96.74
44082,78520,BROWNSVILLE,TX,25.92,-97.48
43880,77346,HUMBLE,TX,29.99,-95.26
43623,76137,FORT WORTH,TX,32.75,-97.33
43510,78228,SAN ANTONIO,TX,29.45,-98.50
43435,79907,EL PASO,TX,31.84,-106.43
43391,78245,SAN ANTONIO,TX,29.45,-98.50
42901,78046,LAREDO,TX,27.53,-99.48
42720,78664,ROUND ROCK,TX,30.51,-97.67
42658,78045,LAREDO,TX,27.53,-99.48
42573,78745,AUSTIN,TX,30.26,-97.74
42549,77373,SPRING,TX,30.06,-95.38
42329,75149,MESQUITE,TX,32.76,-96.59
41124,78247,SAN ANTONIO,TX,29.45,-98.50
41091,75093,PLANO,TX,33.04,-96.74
40712,78501,MCALLEN,TX,26.21,-98.23
40571,75243,DALLAS,TX,32.79,-96.76
40542,78681,ROUND ROCK,TX,30.51,-97.67
40493,77077,HOUSTON,TX,29.76,-95.38
40400,78596,WESLACO,TX,26.16,-97.98
40237,77546,FRIENDSWOOD,TX,29.51,-95.19
40152,77072,HOUSTON,TX,29.76,-95.38
39848,77036,HOUSTON,TX,29.76,-95.38
39340,75056,THE COLONY,TX,33.09,-96.88
39240,75098,WYLIE,TX,33.04,-96.51
38972,75006,CARROLLTON,TX,32.98,-96.89
38936,75227,DALLAS,TX,32.79,-96.76
38880,75023,PLANO,TX,33.04,-96.74
38860,77015,HOUSTON,TX,29.76,-95.38
38798,76133,FORT WORTH,TX,32.75,-97.33
38667,77469,RICHMOND,TX,29.58,-95.76
38324,76051,GRAPEVINE,TX,32.93,-97.07
38294,76179,FORT WORTH,TX,32.75,-97.33
38222,77089,HOUSTON,TX,29.76,-95.38
38085,78240,SAN ANTONIO,TX,29.45,-98.50
37962,77433,CYPRESS,TX,29.96,-95.69
37957,75035,FRISCO,TX,33.14,-96.81
37706,77088,HOUSTON,TX,29.76,-95.38
37672,78251,SAN ANTONIO,TX,29.45,-98.50
37503,76017,ARLINGTON,TX,32.69,-97.12
37493,75061,IRVING,TX,32.85,-96.96
37474,75287,DALLAS,TX,32.79,-96.76
37370,75028,FLOWER MOUND,TX,33.02,-97.09
37234,75115,DESOTO,TX,32.58,-96.86
36400,77064,HOUSTON,TX,29.76,-95.38
36379,77521,BAYTOWN,TX,29.74,-94.96
36323,77082,HOUSTON,TX,29.76,-95.38
36315,78223,SAN ANTONIO,TX,29.45,-98.50
36163,77070,HOUSTON,TX,29.76,-95.38
35476,78550,HARLINGEN,TX,26.19,-97.68
35471,79109,AMARILLO,TX,35.20,-101.81
35441,77040,HOUSTON,TX,29.76,-95.38
35424,77478,SUGAR LAND,TX,29.61,-95.61
35385,77845,COLLEGE STATION,TX,30.60,-96.31
35350,75060,IRVING,TX,32.85,-96.96
35271,78666,SAN MARCOS,TX,29.88,-97.92
35152,78041,LAREDO,TX,27.53,-99.48
35107,76010,ARLINGTON,TX,32.69,-97.12
35094,79938,EL PASO,TX,31.84,-106.43
35009,75216,DALLAS,TX,32.79,-96.76
34919,75062,IRVING,TX,32.85,-96.96
34903,78254,SAN ANTONIO,TX,29.45,-98.50
34843,78840,DEL RIO,TX,29.37,-100.89
34805,75019,COPPELL,TX,32.96,-96.99
34793,75104,CEDAR HILL,TX,32.58,-96.95
34673,78504,MCALLEN,TX,26.21,-98.23
34631,78233,SAN ANTONIO,TX,29.45,-98.50
34588,78249,SAN ANTONIO,TX,29.45,-98.50
34553,78227,SAN ANTONIO,TX,29.45,-98.50
34392,78586,SAN BENITO,TX,26.13,-97.63
34295,78852,EAGLE PASS,TX,28.70,-100.49
34258,77511,ALVIN,TX,29.43,-95.24
34168,78258,SAN ANTONIO,TX,29.45,-98.50
34130,75074,PLANO,TX,33.04,-96.74
34077,77581,PEARLAND,TX,29.55,-95.27
33925,75044,GARLAND,TX,32.91,-96.62
33858,78641,LEANDER,TX,30.56,-97.86
33840,77388,SPRING,TX,30.06,-95.38
33743,75080,RICHARDSON,TX,32.97,-96.70
33677,76116,FORT WORTH,TX,32.75,-97.33
33603,78155,SEGUIN,TX,29.57,-97.96
33379,79928,EL PASO,TX,31.65,-106.15
33303,77099,HOUSTON,TX,29.76,-95.38
