0.40000,1982607933,ADR LLC,PO BOX 808, ,CUMBERLAND,MD,215010808,3017241646,Specialist, , , , , , , , , , , , , , 
0.40000,1700889755,AZAR/FILIPOV MD PA,31519 WINTERPLACE PKWY,STE 1,SALISBURY,MD,218041884,4105462500,Optometrist,Ophthalmology, , , , , , , , , , , , , 
0.40000,1841293883,J KIM RADIOLOGY ASSOCIATES PA,PO BOX 808, ,CUMBERLAND,MD,215010808,3017241646,Specialist, , , , , , , , , , , , , , 
0.40000,1306849351,WESTERN MD PET IMAGING LLC,PO BOX 808, ,CUMBERLAND,MD,215010808,3017241646,Specialist, , , , , , , , , , , , , , 
0.40000,1295738284,A & A MEDICAL SUPPLY COMPANY,146 CHARTLEY DR,STE 100,REISTERSTOWN,MD,211362331,4105269323,Durable Medical Equipment & Medical Supplies, , , , , , , , , , , , , , 
0.40000,1740283837,WESTERN MARYLAND SURGICENTER LLP,925 BISHOP WALSH RD,STE 2,CUMBERLAND,MD,215021845,3017220708,Ambulatory Surgical, , , , , , , , , , , , , , 
0.40000,1548263619,AZAR EYE SURGERY CENTER LLC,31519 WINTERPLACE PKWY,STE 3,SALISBURY,MD,218041884,4432602828,Ambulatory Surgical, , , , , , , , , , , , , , 
0.40000,1699778415,KENNEDY KRIEGER INSTITUTE,700 N BROADWAY, ,BALTIMORE,MD,212051806,4439239200,Special Hospital, , , , , , , , , , , , , , 
0.40000,1215930011,POTOMAC VALLEY NURSING FACILITIES INC.,1235 POTOMAC VALLEY RD, ,ROCKVILLE,MD,208502757,3017620700,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1215930003,COLLINGSWOOD NURSING FACILITIES INC,299 HURLEY AVE, ,ROCKVILLE,MD,208503118,3017628900,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1083617625,ORTHOPAEDIC AND SPORTS MEDICINE CENTER LLC,108 FORBES ST, ,ANNAPOLIS,MD,214011502,4102688862,Sports Medicine, , , , , , , , , , , , , , 
0.40000,1427051978,REESER'S PHARMACY INC.,1013 S TALBOT ST,# F,SAINT MICHAELS,MD,216632637,4107452207,Pharmacy, , , , , , , , , , , , , , 
0.40000,1336142058,WIENNER INC,900 CATHEDRAL ST, ,BALTIMORE,MD,212015311,4105398030,Durable Medical Equipment & Medical Supplies,Pharmacy,Community/Retail Pharmacy,Specialty Pharmacy, , , , , , , , , , , 
0.40000,1255334819,GUARDIAN MEDICAL TRANSPORT INC,85 W MAIN ST, ,WESTMINSTER,MD,211574800,4108488202,Land Transport, , , , , , , , , , , , , , 
0.40000,1174526792,AMERICAN MEDICAL EQUIPMENT INC,733 FREDERICK RD, ,CATONSVILLE,MD,212284503,4107191222,Durable Medical Equipment & Medical Supplies,Customized Equipment, , , , , , , , , , , , , 
0.40000,1720081425,WOODHAVEN PHARMACY LLC,9006 YELLOW BRICK RD,STE F,BALTIMORE,MD,212372309,4439278400,Pharmacy, , , , , , , , , , , , , , 
0.40000,1710980255,CATONSVILLE PHARMACY LLC,6350 FREDERICK RD, ,BALTIMORE,MD,212282375,4107445959,Pharmacy,Community/Retail Pharmacy, , , , , , , , , , , , , 
0.40000,1578566899,CITIZENS NURSING HOME BOARD OF HARFORD COUNTY,415 MARKET ST, ,HAVRE DE GRACE,MD,210783301,4109395500,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1457354748,SUBURBAN/NRH MEDICAL REHABILITATION INC,6410 ROCKLEDGE DR,STE 600,BETHESDA,MD,208171844,3015818030,Rehabilitation, , , , , , , , , , , , , , 
0.40000,1184627473,CARDIOLOGY CENTER LLP,310 W NINTH ST, ,FREDERICK,MD,217014546,3016945900,Cardiovascular Disease, , , , , , , , , , , , , , 
0.40000,1710980081,BRADDOCK MEDICAL GROUP P.A.,912 SETON DR, ,CUMBERLAND,MD,215021818,3017223111,Contractor, , , , , , , , , , , , , , 
0.40000,1386647642,CUMBERLAND CARDIOVASCULAR ASSOC 3,12502 WILLOWBROOK ROAD,SUITE 640,CUMBERLAND,MD,215023772,3017233780,Cardiovascular Disease, , , , , , , , , , , , , , 
0.40000,1801898077,RADIATION PHYSICS INC,10133 BACON DR, ,BELTSVILLE,MD,207052102,3019374072,Portable X-ray and/or Other Portable Diagnostic Imaging Supplier, , , , , , , , , , , , , , 
0.40000,1629070883,DRS. HAHN AND PADGETT,5601 LOCH RAVEN BLVD,STE 103,BALTIMORE,MD,212392905,4105323991,Specialist, , , , , , , , , , , , , , 
0.40000,1699777979,ADVANCE GROUP L.L.C.,1328 REISTERSTOWN RD,STE C,PIKESVILLE,MD,212083838,4105802040,Durable Medical Equipment & Medical Supplies, , , , , , , , , , , , , , 
0.40000,1396747358,CHESAPEAKE CHURCH,6045 SOLOMONS ISLAND RD, ,HUNTINGTOWN,MD,206398876,4102575200,Counselor,Clinical, , , , , , , , , , , , , 
0.40000,1003810078,MARYLAND ORTHOTICS AND PROSTHETICS CO. INC,8517 LOCH RAVEN BLVD, ,BALTIMORE,MD,21286,4106658200,Prosthetic/Orthotic Supplier, , , , , , , , , , , , , , 
0.40000,1982608931,SNOWHILL PHARMACY INC,5610 MARKET ST, ,SNOW HILL,MD,218632411,4106323500,Pharmacy,Community/Retail Pharmacy, , , , , , , , , , , , , 
0.40000,1861496812,W S ASSOCIATES INC,404 N FRUITLAND BLVD, ,SALISBURY,MD,218017261,4107498401,Durable Medical Equipment & Medical Supplies,Oxygen Equipment & Supplies,Pharmacy,Community/Retail Pharmacy,Long Term Care Pharmacy, , , , , , , , , , 
0.40000,1497759443,APPLE INFUSION INC,404B N FRUITLAND BLVD, ,SALISBURY,MD,218017261,4108601669,Community/Retail Pharmacy,Home Infusion Therapy Pharmacy, , , , , , , , , , , , , 
0.40000,1679577498,BECKMANS GREENE STREET PHARMACY INC,686 GREENE ST, ,CUMBERLAND,MD,215022734,3017777336,Durable Medical Equipment & Medical Supplies,Community/Retail Pharmacy, , , , , , , , , , , , , 
0.40000,1699779470,CHERRYWOOD LIMITED PARTNERSHIP,8028 RITCHIE HWY,STE 210B,PASADENA,MD,211221059,4107661995,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1184628943,ALLIED PHARMACEUTICAL SERVICE INC,1201 SEVEN LOCKS RD,SUITE 203,ROCKVILLE,MD,208542931,3013090999,Long Term Care Pharmacy, , , , , , , , , , , , , , 
0.40000,1265436810,HOLLY HILL MANOR INC.,531 STEVENSON LN, ,TOWSON,MD,212867607,4108235310,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1447254172,SURGICENTER OF BALTIMORE LLC,23 CROSSROADS DR,STE 100,OWINGS MILLS,MD,211175420,4103560300,Ambulatory Surgical, , , , , , , , , , , , , , 
0.40000,1275537730,MANCHESTER PHARMACY INC,PO BOX 886, ,MANCHESTER,MD,211020886,4102392300,Pharmacy,Community/Retail Pharmacy, , , , , , , , , , , , , 
0.40000,1376547844,HOLABIRD PHARMACY DBA UNIVERSAL HEALTH,7151 HOLABIRD AVE, ,BALTIMORE,MD,212221726,4102823300,Prosthetic/Orthotic Supplier, , , , , , , , , , , , , , 
0.40000,1811991243,KENT AND QUEEN ANNE'S RESCUE SQUAD INC.,PO BOX 126, ,CHESTERTOWN,MD,216200126, ,Land Transport, , , , , , , , , , , , , , 
0.40000,1255336483,POTOMAC FAMILY MEDICINE,1324 PENNSYLVANIA AVE,SUITE 101,HAGERSTOWN,MD,21742,3017917900,Family Medicine, , , , , , , , , , , , , , 
0.40000,1871598029,POTOMAC VALLEY HOME MEDICAL INC.,505 NORTH CENTRE STREET, ,CUMBERLAND,MD,21505,3017226300,Durable Medical Equipment & Medical Supplies,Parenteral & Enteral Nutrition,Oxygen Equipment & Supplies,Prosthetic/Orthotic Supplier, , , , , , , , , , , 
0.40000,1801891080,JOHNS HOPKINS UNIVERSITY,PO BOX 64250, ,BALTIMORE,MD,212644250, ,Interventional Cardiology,Cardiovascular Disease,Clinical Cardiac Electrophysiology, , , , , , , , , , , , 
0.40000,1447255609,EDGE MEDICAL CARE PC,PO BOX 7909, ,LANGLEY PARK,MD,207877909, ,Primary Care, , , , , , , , , , , , , , 
0.40000,1750386728,AESTHETIC FACIAL SURGERY CENTER OF ROCKVILLE,9715 MEDICAL CENTER DR,STE 414,ROCKVILLE,MD,208506310,3014248644,Ambulatory Surgical, , , , , , , , , , , , , , 
0.40000,1124023288,ORTHOPAEDIC GROUP OF WESTERN MARYLAND,925 SETON DR, ,CUMBERLAND,MD,215021817,3017247146,Orthopaedic Surgery, , , , , , , , , , , , , , 
0.40000,1396740379,MARYLAND DIGESTIVE DISEASE CENTER,7350 VAN DUSEN RD,STE 250,LAUREL,MD,207075268,3014985500,Specialist, , , , , , , , , , , , , , 
0.40000,1447255492,EASTERN SHORE CARDIOVASCULAR ASSOC. P.A.,614 EASTERN SHORE DR,# D,SALISBURY,MD,218045955,4107495419,Specialist, , , , , , , , , , , , , , 
