0.40000,1134122021,NEVADA CARDIOLOGY PROFESSIONAL ASSN,3121 S MARYLAND PKWY,STE 512,LAS VEGAS,NV,891092310,7027967150,Cardiovascular Disease, , , , , , , , , , , , , , 
0.40000,1245234145,LAS VEGAS KIDNEY CLINIC INC.,1905 CIVIC CENTER DR,STE 201,NORTH LAS VEGAS,NV,890307116,7022149516,Medical Specialty, , , , , , , , , , , , , , 
0.40000,1962406686,CANOWA SUB 1,2091 E SAHARA AVE, ,LAS VEGAS,NV,891043829,7027324044,Chiropractor, , , , , , , , , , , , , , 
0.40000,1891799342,COUNTY OF EUREKA,PO BOX 407, ,EUREKA,NV,893160407,7752375263,Land Transport, , , , , , , , , , , , , , 
0.40000,1780688234,COLONIAL HOME CARE,3530 E FLAMINGO RD,STE 270,LAS VEGAS,NV,891215092,7027338533,Home Health, , , , , , , , , , , , , , 
0.40000,1053316810,APM MEDICAL SUPPLIES,5025 S EASTERN AVE,SUITE 4,LAS VEGAS,NV,891192318,7022590374,Durable Medical Equipment & Medical Supplies, , , , , , , , , , , , , , 
0.40000,1750387114,MAM MEDICAL SUPPLY INC.,2300 E DESERT INN RD,STE 2,LAS VEGAS,NV,891093233,7023690510,Durable Medical Equipment & Medical Supplies, , , , , , , , , , , , , , 
0.40000,1528064854,EYE SURGERY CENTER OF NEVADA,PO BOX 2005, ,CARSON CITY,NV,897022005,7758823950,Ambulatory Surgical, , , , , , , , , , , , , , 
0.40000,1285630293,SCHUYLKILL OPEN MRI INC,848 N RAINBOW BLVD STE 2494, ,LAS VEGAS,NV,891071103,8777001093,Magnetic Resonance Imaging (MRI),Radiology, , , , , , , , , , , , , 
0.40000,1477559169,7 HILLS RADIOLOGY LLC,PO BOX 530326, ,HENDERSON,NV,890530326,7024078647,Health Service, , , , , , , , , , , , , , 
0.40000,1235135849,MEDTECH SERVICES INC,555 GENTRY WAY, ,RENO,NV,895024612,7758262022,Durable Medical Equipment & Medical Supplies, , , , , , , , , , , , , , 
0.40000,1730186388,CARDIOLOGY ASSOC. OF NEVADA,1090 E DESERT INN RD,# H100,LAS VEGAS,NV,891092824,7027655720,Cardiovascular Disease, , , , , , , , , , , , , , 
