0.40000,1699778704,WEBSTER COUNTY MEMORIAL HOSPITAL,PO BOX 312,324 MILLER MOUNTAIN DRIVE,WEBSTER SPRINGS,WV,26288,3048475682,Critical Access, , , , , , , , , , , , , , 
0.40000,1194728097,MARMET HEALTH CARE CENTER,1 SUTPHIN DR, ,MARMET,WV,253151977,3049491580,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1720081615,FAYETTE COMMUNITY HEALTH CARE,422 23RD ST, ,OAK HILL,WV,259012830,3044651903,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1992708770,GREENBRIER MEDICAL ARTS PHARMACY INC,3558 JEFFERSON ST N STE 1, ,LEWISBURG,WV,249015730,3046455547,Durable Medical Equipment & Medical Supplies,Pharmacy,Community/Retail Pharmacy, , , , , , , , , , , , 
0.40000,1083617989,STONEWALL JACKSON MEMORIAL HOSPITAL,456 SUITE B MARKET PLACE MALL, ,WESTON,WV,264526938,3042694556,Home Health, , , , , , , , , , , , , , 
0.40000,1710980347,BRACKEN COUNTY AMBULANCE DISTRICT,836 4TH AVENUE, ,HUNTINGTON,WV,25701,3045227533,Land Transport, , , , , , , , , , , , , , 
0.40000,1083617799,FOLLANSBEE PHARMACY INC,651 COLLIERS WAY,SUITE 204,WEIRTON,WV,260625053,3047236331,Pharmacy, , , , , , , , , , , , , , 
0.40000,1861495335,CITY OF SISTERSVILLE,314 S WELLS ST, ,SISTERSVILLE,WV,261751098,3046522611,Critical Access, , , , , , , , , , , , , , 
0.40000,1730181033,JESSAMINE COUNTY FISCAL COURT,836 4TH AVE, ,HUNTINGTON,WV,257011407,8006764785,Land Transport, , , , , , , , , , , , , , 
0.40000,1609878966,APPALACHIAN LABORATORIES INC,PO BOX 409, ,BLUEFIELD,WV,247010409, ,Clinical Medical Laboratory, , , , , , , , , , , , , , 
0.40000,1104828243,BLUEFIELD PATHOLOGY ASSOCIATES INC,PO BOX 409, ,BLUEFIELD,WV,247010409, ,Anatomic Pathology & Clinical Pathology, , , , , , , , , , , , , , 
0.40000,1114929304,AFFILIATED PHYSICAL THERAPY SERVICES INC,2A CHERRY TREE DR, ,NUTTER FORT,WV,263014475,3046225822,Physical Therapy, , , , , , , , , , , , , , 
0.40000,1184628117,FAMILY DISCOUNT PHARMACY INC,PO BOX 1247, ,MOUNT GAY,WV,256371247,3047521445,Durable Medical Equipment & Medical Supplies,Pharmacy, , , , , , , , , , , , , 
0.40000,1063416790,EPPYS DRUG STORE INC,2987 ROBERT C BYRD DR, ,BECKLEY,WV,258014400, ,Pharmacy,Community/Retail Pharmacy, , , , , , , , , , , , , 
0.40000,1295739654,JUDYS DRUG STORE INC,24 N MAIN ST, ,PETERSBURG,WV,268471518,3042571044,Pharmacy,Community/Retail Pharmacy,Long Term Care Pharmacy, , , , , , , , , , , , 
0.40000,1730184169,MON HEALTHCARE INC,1159 VAN VOORHIS RD, ,MORGANTOWN,WV,265053431,3042852700,Oxygen Equipment & Supplies, , , , , , , , , , , , , , 
